epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.30897,0.9103,3.39769,0.98266,0.00766,0.85714,0.09479,0.08821,0.72069,3.08935,0.835,2e-05,2e-05,2e-05
2,4.16662,0.89748,3.43856,0.99464,0.00946,1,0.19116,0.18181,0.58028,2.95761,0.8333,5.8812e-05,5.8812e-05,5.8812e-05
3,6.01051,0.8,3.14946,0.96293,0.01023,1,0.31325,0.29359,0.59777,2.88191,0.83322,9.604e-05,9.604e-05,9.604e-05
4,7.97917,0.84153,2.82061,0.95236,0.0104,1,0.44754,0.37122,0.66025,2.81354,0.82923,0.000131684,0.000131684,0.000131684
5,9.8886,0.9103,2.73565,0.90377,0.01082,1,0.46838,0.37346,0.6897,2.7535,0.82893,0.000165744,0.000165744,0.000165744
6,11.6636,0.7978,1.90618,0.91805,0.0108,1,0.49397,0.40026,0.72586,2.63915,0.83453,0.00019822,0.00019822,0.00019822
7,13.5622,0.87232,1.66987,0.8952,0.01067,1,0.51101,0.3972,0.74849,2.4904,0.83434,0.000229112,0.000229112,0.000229112
8,15.5339,0.81827,1.21194,0.88999,0.7454,0.42069,0.76576,0.56446,0.85231,2.28077,0.85846,0.00025842,0.00025842,0.00025842
9,17.3467,0.77457,0.90302,0.88424,0.72896,0.42857,0.80611,0.55475,0.92602,2.1226,0.88177,0.000286144,0.000286144,0.000286144
10,19.2225,0.75981,0.86052,0.86828,0.78648,0.53281,0.88875,0.60774,0.95061,1.98002,0.88742,0.000312284,0.000312284,0.000312284
11,21.0921,0.75802,0.80912,0.88831,0.85272,0.83059,0.90625,0.67449,0.91764,1.83717,0.89678,0.00033684,0.00033684,0.00033684
12,23.0644,0.81821,0.87858,0.87738,0.86835,0.94677,0.92375,0.69138,0.89606,1.6965,0.90667,0.000359812,0.000359812,0.000359812
13,25.2841,0.75147,0.76327,0.88027,0.87241,1,0.96,0.70366,0.89968,1.60523,0.91004,0.0003812,0.0003812,0.0003812
